Commodity_Code,Commodity_Description,Country_Code,Country_Name,Market_Year,Calendar_Year,Month,Attribute_ID,Attribute_Description,Unit_ID,Unit_Description,Value
577400,"Almonds, Shelled Basis",AF,Afghanistan,2010,2018,10,20,Beginning Stocks,21,(MT),0.0
577400,"Almonds, Shelled Basis",AF,Afghanistan,2010,2018,10,125,Domestic Consumption,21,(MT),0.0
577400,"Almonds, Shelled Basis",AF,Afghanistan,2010,2018,10,176,Ending Stocks,21,(MT),0.0
577400,"Almonds, Shelled Basis",AF,Afghanistan,2010,2018,10,88,Exports,21,(MT),0.0
577400,"Almonds, Shelled Basis",AF,Afghanistan,2010,2018,10,57,Imports,21,(MT),0.0
577400,"Almonds, Shelled Basis",AF,Afghanistan,2010,2018,10,28,Production,21,(MT),0.0
577400,"Almonds, Shelled Basis",AF,Afghanistan,2010,2018,10,178,Total Distribution,21,(MT),0.0
577400,"Almonds, Shelled Basis",AF,Afghanistan,2010,2018,10,86,Total Supply,21,(MT),0.0
577400,"Almonds, Shelled Basis",AG,Algeria,2001,2010,10,20,Beginning Stocks,21,(MT),0.0
577400,"Almonds, Shelled Basis",AG,Algeria,2001,2010,10,125,Domestic Consumption,21,(MT),300.0
577400,"Almonds, Shelled Basis",AG,Algeria,2001,2010,10,176,Ending Stocks,21,(MT),0.0
577400,"Almonds, Shelled Basis",AG,Algeria,2001,2010,10,88,Exports,21,(MT),0.0
577400,"Almonds, Shelled Basis",AG,Algeria,2001,2010,10,57,Imports,21,(MT),300.0
577400,"Almonds, Shelled Basis",AG,Algeria,2001,2010,10,28,Production,21,(MT),0.0
577400,"Almonds, Shelled Basis",AG,Algeria,2001,2010,10,178,Total Distribution,21,(MT),300.0
577400,"Almonds, Shelled Basis",AG,Algeria,2001,2010,10,86,Total Supply,21,(MT),300.0
577400,"Almonds, Shelled Basis",AG,Algeria,2002,2014,10,20,Beginning Stocks,21,(MT),0.0
577400,"Almonds, Shelled Basis",AG,Algeria,2002,2014,10,125,Domestic Consumption,21,(MT),1200.0
577400,"Almonds, Shelled Basis",AG,Algeria,2002,2014,10,176,Ending Stocks,21,(MT),0.0
577400,"Almonds, Shelled Basis",AG,Algeria,2002,2014,10,88,Exports,21,(MT),0.0
577400,"Almonds, Shelled Basis",AG,Algeria,2002,2014,10,57,Imports,21,(MT),1200.0
577400,"Almonds, Shelled Basis",AG,Algeria,2002,2014,10,28,Production,21,(MT),0.0
577400,"Almonds, Shelled Basis",AG,Algeria,2002,2014,10,178,Total Distribution,21,(MT),1200.0
577400,"Almonds, Shelled Basis",AG,Algeria,2002,2014,10,86,Total Supply,21,(MT),1200.0
577400,"Almonds, Shelled Basis",AG,Algeria,2003,2010,10,20,Beginning Stocks,21,(MT),0.0
577400,"Almonds, Shelled Basis",AG,Algeria,2003,2010,10,125,Domestic Consumption,21,(MT),1600.0
577400,"Almonds, Shelled Basis",AG,Algeria,2003,2010,10,176,Ending Stocks,21,(MT),0.0
577400,"Almonds, Shelled Basis",AG,Algeria,2003,2010,10,88,Exports,21,(MT),0.0
577400,"Almonds, Shelled Basis",AG,Algeria,2003,2010,10,57,Imports,21,(MT),1600.0
577400,"Almonds, Shelled Basis",AG,Algeria,2003,2010,10,28,Production,21,(MT),0.0
577400,"Almonds, Shelled Basis",AG,Algeria,2003,2010,10,178,Total Distribution,21,(MT),1600.0
577400,"Almonds, Shelled Basis",AG,Algeria,2003,2010,10,86,Total Supply,21,(MT),1600.0
577400,"Almonds, Shelled Basis",AG,Algeria,2004,2009,8,20,Beginning Stocks,21,(MT),0.0
